cycle,router_id,mod_valid[0],mod_valid[1],mod_valid[2],mod_valid[3],wave_valid[0],wave_valid[1],wave_valid[2],wave_valid[3],photodet_valid[0],photodet_valid[1],photodet_valid[2],photodet_valid[3],router_valid[0],router_valid[1],router_valid[2],router_valid[3],router_req,router_grant,router_ready_local
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0000,1
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001,0000,1
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0000,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,0000,1
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001,0001,1
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010,0000,1
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0000,1
7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0001,0000,1
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0000,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010,0000,1
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0000,1
8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001,0000,1
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0000,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0010,0000,1
